title,open_date,movie_link,poster_link
Confession,"Opens Mar 10, 2023",/m/confession_2022_3,https://resizing.flixster.com/RM877mQZPR-8YkEDJDdv438zgmU=/180x258/v2/https://resizing.flixster.com/dDjWOUb6egrNCiSFes5YiwkZcuY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2I4ZWI0OTU1LWEzN2QtNGJmMy04M2QyLTAzYTk1YmY3MTQxZS5qcGc=
Future TX,"Opens Mar 10, 2023",/m/future_tx,https://resizing.flixster.com/Xn3qmUxSgpvh4fymWtzBbiUp-U0=/180x258/v2/https://flxt.tmsimg.com/assets/p23806476_p_v10_aa.jpg
Shonibar Bikel (Saturday Afternoon),"Opens Mar 10, 2023",/m/shonibar_bikel_saturday_afternoon,https://resizing.flixster.com/RMbLwDCuDndJdpZxmLsMd2RHC04=/180x258/v2/https://resizing.flixster.com/cSku6xPXac-1MTGHd9VlBRnWBTQ=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzI3MzhjZjVhLWM4MTgtNGNhOS05YzI4LTQ3YTUzZjI5ZjFiNS5qcGc=
Infinite Sea,"Opens Mar 10, 2023",/m/infinite_sea,https://resizing.flixster.com/JKcPUn3e5skJHnXDmul2yupjE8c=/180x258/v2/https://resizing.flixster.com/8a40EgY7GeFskV6CbsJQoXexPuM=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2QxYjQ5ZmY2LTVkYTgtNDk2NS05YzM5LTc0ZDM0ZGE3NTI2Ni5qcGc=
Rewind & Play,"Opens Mar 10, 2023",/m/rewind_and_play,https://resizing.flixster.com/9jkhhXpp0F0ZenA5FoBzCpwW6SA=/180x258/v2/https://flxt.tmsimg.com/assets/p22819145_p_v10_aa.jpg
Ant-Man and The Wasp: Quantumania,"Opened Feb 17, 2023",/m/ant_man_and_the_wasp_quantumania,https://resizing.flixster.com/fVrIldlpUM25DuWLZXNn2jwZSd4=/180x258/v2/https://resizing.flixster.com/_0Mhf0W_vdhwlaqOaUDX6JiReKA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzE0OGY2MTIxLTE1MDEtNDI5YS1hYzVlLWYyMzExYjBmZTlhMC5qcGc=
Cocaine Bear,"Opened Feb 24, 2023",/m/cocaine_bear,https://resizing.flixster.com/ZWfK4g9Hs3ap7o6ac5nxwS-gtPU=/180x258/v2/https://resizing.flixster.com/HyxB3a8sdK-y6fUI4akiNAT39KQ=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2I1YjM3YTg1LTg5YTgtNGUzNC1iMjFmLTJkMmIwNmQ1ZTk0YS5qcGc=
Jesus Revolution,"Opened Feb 24, 2023",/m/jesus_revolution,https://resizing.flixster.com/dtd4eV2Pec2cdFlx5sl8mRE_K2s=/180x258/v2/https://resizing.flixster.com/FLuS1mtbLsmLtJCuxgvnN8PZ1Bg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzU5ODQ1Y2M1LWY1MWEtNDIzOS04NDRjLTcwMTlkY2Q5MGE3NS5qcGc=
Avatar: The Way of Water,"Opened Dec 16, 2022",/m/avatar_the_way_of_water,https://resizing.flixster.com/vBbpscWVOg8oEI6mhx6l87Eegio=/180x258/v2/https://resizing.flixster.com/gWWM2Ov0VLAuazwELZCVc9grUQI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzgyMGM0ZDJiLWNmYjAtNGI3NS1hYTgzLTQ5YmU2ZjQwZWE0ZC5qcGc=
Puss in Boots: The Last Wish,"Opened Dec 21, 2022",/m/puss_in_boots_the_last_wish,https://resizing.flixster.com/7TqHTXZS36wi0cPwfdLO3kQMXH0=/180x258/v2/https://resizing.flixster.com/vtIcjOYiM-QBXQyXhTFFgQoRkDw=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2JmNjM3ZTc2LTk5ZmMtNGJhNy04MDAzLWI3M2IxNmExNDNkYi5qcGc=
Magic Mike's Last Dance,"Opened Feb 10, 2023",/m/magic_mikes_last_dance,https://resizing.flixster.com/1rDwxiAlOeVPkIIwdiMgGYg7STQ=/180x258/v2/https://resizing.flixster.com/dSyi0qq5pZSCRC1VH_oo02R4QRE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzRhMWZhYmFhLWFmODgtNDg1MC1hMTk5LWMwOTcyMDhjY2Y1YS5qcGc=
